,Assortativity,Transitivity,Av. shortest p.,Complexity Coef,1m Degree,2m Degree,3m Degree,4m Degree,H Degree,1m L. clustering,2m L. clustering,3m L. clustering,4m L. clustering,H L. clustering,1m Betweenness,2m Betweenness,3m Betweenness,4m Betweenness,H Betweenness,1m Closeness,2m Closeness,3m Closeness,4m Closeness,H Closeness,1m Comm,2m Comm,3m Comm,4m Comm,H Comm,1m k-core,2m k-core,3m k-core,4m k-core,H k-core,1m PageRank,2m PageRank,3m PageRank,4m PageRank,H PageRank,1m Eigenvector,2m Eigenvector,3m Eigenvector,4m Eigenvector,H Eigenvector,len,method,net id,Component0,Component1,Component2
74,-0.3053166536356531,0.0,3.163157894736842,3.2380952380952377,2.1,6.8,34.2,227.0,0.5235976885966213,0.0,0.0,0.0,0.0,0.0,0.1201754385964912,0.04678533565883519,0.0262707013764019,0.017570651559439855,0.5234185181765546,0.33234450280869104,0.11603517655621878,0.04251450713494589,0.016324357072353763,0.49601643234093873,0.14353435047818558,0.05475580600038973,0.031061840458061134,0.021085370196486673,0.554719306372027,1.4,2.2,3.8,7.0,0.29228525323862886,0.05000000000000001,0.003490478080257571,0.00035662458129057773,4.829377755525183e-05,0.0862140747587937,0.17727137153184597,0.05000000000000001,0.01945353238185984,0.009477616500150199,0.6212853087119076,20,TR,0,1.2570274388562666,-0.34752017600404816,0.20317705527868946
75,-0.4361702127659585,0.0,4.010526315789473,2.4,2.0,4.8,13.4,42.0,0.5073786214160918,0.0,0.0,0.0,0.0,0.0,0.16725146198830404,0.05029581751650079,0.01822269100243969,0.007477869814010806,0.6836242476018043,0.25428753673649335,0.06602299981438485,0.017515133692500226,0.004748157727149536,0.18358022428449897,0.17733179689797057,0.053796630313411885,0.019860424299720285,0.00827378574031811,0.6836242476018043,1.65,2.95,5.55,10.75,0.28118250265954736,0.04999999999999999,0.0029025053468540486,0.00019269459312114105,1.4251372272415585e-05,0.0,0.1840706239304672,0.05,0.016805672473007648,0.006334950178339424,0.6046774379777632,20,MHRW,0,0.8824378374664765,-0.9537303876802637,0.018365375276177716
76,-0.9234308853303882,0.0,2.7421052631578946,4.947368421052632,1.9,9.4,75.1,661.0,0.2250454129260502,0.0,0.0,0.0,0.0,0.0,0.09678362573099415,0.06277658082828905,0.040919183210468515,0.026793458380383828,0.2250454129260502,0.37278237315973184,0.14300115541071842,0.05682448243595316,0.023515007955531953,0.18358022428449897,0.12608165883619846,0.0668310794642187,0.04395968016768256,0.029321781018440622,0.18358022428449897,1.0,1.0,1.0,1.0,0.0,0.049999999999999975,0.005869779283044248,0.001128413849546249,0.00024341782576457822,0.14118174150460758,0.19561601681100804,0.04999999999999995,0.017103756896812858,0.007119909445793523,0.2250454129260502,20,SB,0,1.6938382601233695,0.8434040328043386,0.07400936590455959
77,-0.4148936170212762,0.0,6.21578947368421,2.0526315789473686,1.9,3.9,8.5,19.5,0.348225372857224,0.0,0.0,0.0,0.0,0.0,0.28976608187134506,0.12263773468759617,0.05629617430144447,0.02705761097583436,0.7536893107080458,0.16891187563032015,0.029791751161259074,0.005450417724156847,0.0010275116506130153,0.24421905028821553,0.29454826469779183,0.12551500388986375,0.05820648025890107,0.028256383562228322,0.7536893107080458,1.0,1.0,1.0,1.0,0.0,0.05000000000000001,0.0026450205635702123,0.0001466339553937125,8.467122894778205e-06,0.0,0.19021504768268688,0.05000000000000001,0.015078391070378167,0.004874379327169918,0.5976876201152861,20,RWS,0,2.205636723691398,-0.38884660147496797,-0.6729218250807274
78,-0.2372435560231456,0.20689655172413793,2.594736842105263,4.107142857142858,2.8,11.5,67.6,491.5,0.5632122493362118,0.2841269841269841,0.23400730662635424,0.2178730898591065,0.2107392925209426,0.6090498091904394,0.08859649122807017,0.025836819686209246,0.01067755607380035,0.0050972991914977625,0.42717218248126526,0.39949577407649656,0.16580888003326608,0.07161213509649908,0.032202914154266835,0.5156305532784988,0.14486797023573245,0.05052056750055041,0.026142456731594037,0.015500528770892533,0.5053986284565879,1.85,3.55,6.95,13.75,0.18358022428449897,0.049999999999999996,0.0033321990383962364,0.0003036653901419899,3.468522522267011e-05,0.14118174150460758,0.17696485910723503,0.05,0.018662842927726145,0.00809462976022435,0.5859366274865181,20,IRWS,0,0.4521598903037904,-0.6111499812033875,1.9439686645762082
79,-0.2386587771203156,0.0,2.9526315789473685,3.25,2.0,6.5,33.8,228.5,0.5103848716195075,0.0,0.0,0.0,0.0,0.0,0.10847953216374266,0.05037960398071201,0.03549695202862438,0.028863972291246504,0.44867574738500343,0.35450075080333593,0.13208299687529332,0.051932562174816364,0.021615885856551876,0.4874400222957725,0.13135857386231806,0.056863921851102964,0.03914487496623425,0.03182899583221842,0.5234185181765546,1.25,1.75,2.75,4.75,0.24421905028821553,0.05,0.0036401823566992947,0.0003982600253293838,5.707923111153174e-05,0.0862140747587937,0.17879190969587824,0.049999999999999996,0.019924132120279395,0.010076450696444065,0.5890493693884088,20,TR,0,1.525785803598322,-0.05129855380837608,0.16127592672778931
80,-0.021276595744681045,0.0,4.831578947368421,2.25,2.0,4.5,11.3,31.5,0.4264518188325467,0.0,0.0,0.0,0.0,0.0,0.21286549707602345,0.0868694641086146,0.04120551612721941,0.020660498141598305,0.6286639301279994,0.2166509784317971,0.04895396200041909,0.011486924785210836,0.0027862200387621006,0.2988548895792612,0.22119502377852457,0.09072869534576503,0.04362992606543471,0.02226528688769805,0.6701291187695506,1.3,1.9,3.1,5.5,0.2652949955741215,0.049999999999999996,0.0027049590891012926,0.00015805467805416878,9.953488813769056e-06,0.0,0.169300765331533,0.049999999999999996,0.018347353927291653,0.0076872703952244855,0.6446395015176064,20,MHRW,0,1.5525741267325954,-0.6595262792712625,-0.3310017774428181
81,-0.9216317767042408,0.017341040462427744,1.894736842105263,9.65,2.0,19.3,344.6,6518.5,0.22504541292605024,0.10029239766081872,0.10000170992784105,0.100000009999578,0.10000000005847706,0.14118174150460758,0.049707602339181284,0.04941691460620361,0.04912792680148897,0.0488406289839364,0.0862140747587937,0.5392642642642642,0.3019966475484493,0.17980101407680177,0.11686427684649678,0.0862140747587937,0.11512807131079972,0.05448403234372305,0.05011189232856887,0.049714549885798286,0.22504541292605024,1.15,1.45,2.05,3.25,0.18358022428449897,0.049999999999999996,0.01061260475515326,0.004337399601225194,0.0019046019239983563,0.0862140747587937,0.18999507250720774,0.04999999999999994,0.021403583326091748,0.012740129824936042,0.22504541292605024,20,SB,0,1.8125780295998923,1.50669267489286,1.2906619582071384
82,-0.5214384508990314,0.07692307692307693,3.6789473684210527,2.7727272727272725,2.2,6.1,20.2,75.7,0.6046774379777631,0.07166666666666667,0.05605555555555556,0.051901851851851845,0.05062228395061728,0.17128474107100572,0.14883040935672515,0.04781556718306487,0.018908724551823915,0.008458718619559632,0.6633803120088515,0.28319412187879767,0.0833375753238476,0.025405333872168638,0.007997073966414765,0.46471564414546623,0.16817000781789465,0.054290644396367306,0.02197630197661228,0.010150438798896082,0.6633803120088515,1.55,2.65,4.85,9.25,0.2988548895792612,0.05,0.002989803192293192,0.00020732199631989814,1.599760679652173e-05,0.0862140747587937,0.18321446206746914,0.04999999999999998,0.016781915712423094,0.006510503696947075,0.6212853087119076,20,RWS,0,0.9346154191261017,-0.7226780062914419,0.4337066482019033
83,-0.1010101010101007,0.125,2.736842105263158,3.6666666666666665,2.7,9.9,46.2,251.7,0.6989700043360186,0.09476190476190477,0.059897959183673466,0.05257652521325991,0.050744977709904826,0.3076310099728432,0.09649122807017545,0.022638874639490207,0.006672231765152843,0.00216258472928613,0.43383044024863854,0.38090977938007714,0.15105908172079124,0.06223492583590945,0.026561840464801263,0.5301029995663981,0.1438180446213699,0.04418486137689402,0.0177762515043658,0.007921997326462201,0.5234185181765546,1.75,3.25,6.25,12.25,0.24421905028821553,0.049999999999999996,0.003106986113866494,0.00023375985651901652,2.0197457126238307e-05,0.0862140747587937,0.1858686452639526,0.05,0.016836795393825786,0.006504094263359623,0.6160396270529163,20,IRWS,0,0.47329539635321805,-0.7396787242354126,1.0903587124503784
