iter	Passed	Remaining
169	2816	30320
170	2832	30298
171	2849	30279
172	2865	30264
173	2881	30240
174	2898	30230
175	2914	30205
176	2931	30194
177	2945	30150
178	2960	30120
179	2976	30098
180	2992	30075
181	3007	30046
182	3023	30021
183	3039	29995
184	3054	29969
185	3071	29953
186	3088	29939
187	3103	29913
188	3119	29891
189	3136	29880
190	3152	29862
191	3168	29839
192	3184	29813
193	3200	29792
194	3216	29770
195	3232	29752
196	3248	29730
197	3265	29719
198	3281	29695
199	3297	29675
200	3314	29666
201	3331	29655
202	3347	29631
203	3364	29620
204	3380	29602
205	3395	29573
206	3412	29558
207	3427	29526
208	3445	29522
209	3462	29516
210	3479	29498
211	3495	29480
212	3510	29448
213	3526	29431
214	3541	29402
215	3556	29373
216	3572	29357
217	3589	29343
218	3606	29330
219	3622	29308
220	3639	29293
221	3655	29279
222	3672	29261
223	3688	29242
224	3705	29230
225	3721	29214
226	3739	29209
227	3756	29196
228	3775	29197
229	3791	29176
230	3809	29170
231	3824	29148
232	3842	29138
233	3858	29118
234	3874	29096
235	3890	29077
236	3907	29068
237	3924	29057
238	3941	29040
239	3956	29016
240	3972	28997
241	3989	28981
242	4005	28962
243	4023	28952
244	4039	28939
245	4057	28928
246	4073	28910
247	4090	28897
248	4107	28883
249	4123	28866
250	4139	28847
251	4155	28826
252	4171	28802
253	4187	28784
254	4204	28769
255	4221	28758
256	4238	28744
257	4254	28724
258	4270	28706
259	4287	28693
260	4302	28664
261	4318	28648
262	4335	28636
263	4352	28622
264	4368	28603
265	4384	28582
266	4400	28561
267	4417	28550
268	4434	28533
269	4450	28516
270	4466	28497
271	4483	28482
272	4499	28464
273	4513	28432
274	4530	28417
275	4547	28404
276	4562	28381
277	4578	28363
278	4595	28349
279	4612	28334
280	4628	28315
281	4644	28292
282	4661	28278
283	4677	28265
284	4695	28252
285	4712	28241
286	4729	28227
287	4746	28214
288	4762	28194
289	4776	28164
290	4791	28139
291	4808	28124
292	4824	28108
293	4840	28088
294	4855	28063
295	4871	28044
296	4888	28030
297	4903	28003
298	4918	27983
299	4935	27966
300	4951	27947
301	4967	27931
302	4984	27914
303	5000	27895
304	5016	27879
305	5033	27865
306	5048	27841
307	5064	27821
308	5080	27805
309	5097	27787
310	5113	27772
311	5130	27759
312	5146	27739
313	5163	27725
314	5181	27717
315	5199	27706
316	5214	27685
317	5230	27666
318	5246	27645
319	5261	27624
320	5277	27606
321	5294	27588
322	5310	27570
323	5326	27555
324	5344	27542
325	5359	27523
326	5377	27510
327	5392	27490
328	5409	27474
329	5424	27450
330	5441	27436
331	5457	27420
332	5474	27403
333	5490	27384
334	5506	27366
335	5522	27349
336	5537	27324
337	5553	27306
338	5570	27291
339	5584	27267
340	5602	27256
341	5617	27231
342	5631	27206
343	5647	27188
344	5664	27171
345	5681	27157
346	5697	27139
347	5714	27125
348	5729	27106
349	5745	27088
350	5763	27076
351	5780	27061
352	5799	27057
353	5816	27045
354	5832	27027
355	5847	27003
356	5863	26986
357	5880	26971
358	5897	26956
359	5913	26938
360	5930	26925
361	5946	26907
362	5962	26886
363	5978	26869
364	5994	26851
365	6011	26838
366	6026	26815
367	6043	26803
368	6058	26779
369	6075	26766
370	6091	26745
371	6106	26725
372	6123	26709
373	6139	26694
374	6156	26677
375	6173	26662
376	6189	26645
377	6206	26631
378	6223	26620
379	6239	26598
380	6255	26581
381	6273	26571
382	6289	26554
383	6307	26542
384	6321	26518
385	6337	26500
386	6354	26483
387	6369	26461
388	6384	26442
389	6401	26426
390	6417	26408
391	6433	26391
392	6450	26374
393	6464	26351
394	6481	26338
395	6498	26321
396	6514	26304
397	6528	26279
398	6544	26260
399	6561	26245
400	6577	26229
401	6594	26215
402	6610	26197
403	6627	26182
404	6642	26159
